structure_id,top_group,n_leaf_clusters,assigned_reference_id,assigned_structure,assigned_node_kind,assigned_behavior,assigned_anatomy_label,assigned_disease_label,likely_cell_of_origin,winning_leaf_reference_id,winning_leaf_label,fallback_applied,fallback_reason,winner_margin_to_second_leaf,score_breakdown_json,winning_leaf_score_breakdown_json,top_leaf_candidates_json,harmonized_composition_json,harmonization_trace_json,score_total,score_sim_comp,score_sim_tfidf,score_behavior_prior,score_origin_prior,score_missing_anchor_penalty,score_must_have_penalty,score_must_have_coverage,score_must_have_hard_gate_active,score_must_have_hard_violation,score_hard_forbidden_gate_active,score_hard_forbidden_violation,score_hard_forbidden_coverage,score_eligible_after_hard_rules,score_forbidden_penalty,score_over_specificity_penalty,score_anchor_coverage,color_hex
1,1,16,breast.invasive.idc_nst,invasive ductal carcinoma [S1],leaf,invasive,invasive breast carcinoma,invasive ductal carcinoma of no special type,Luminal Epithelial Lineage,breast.invasive.idc_nst,invasive ductal carcinoma,False,,1.1243032101279937,"{""sim_comp"": 0.5478645765142856, ""sim_tfidf"": 0.6998707112844065, ""behavior_prior"": 0.39921248442450363, ""origin_prior"": 0.7964529159303206, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.05317616906710285, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.8053739703245893}","{""sim_comp"": 0.5478645765142856, ""sim_tfidf"": 0.6998707112844065, ""behavior_prior"": 0.39921248442450363, ""origin_prior"": 0.7964529159303206, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.05317616906710285, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.8053739703245893}","[{""reference_id"": ""breast.invasive.idc_nst"", ""label"": ""invasive ductal carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Luminal Epithelial Lineage""], ""anatomy_label"": ""invasive breast carcinoma"", ""disease_label"": ""invasive ductal carcinoma of no special type"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.5478645765142856, ""sim_tfidf"": 0.6998707112844065, ""behavior_prior"": 0.39921248442450363, ""origin_prior"": 0.7964529159303206, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.05317616906710285, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.8053739703245893}}, {""reference_id"": ""breast.stroma.reactive_stroma"", ""label"": ""reactive breast stroma"", ""parent_id"": ""breast.stroma"", ""node_kind"": ""leaf"", ""behavior"": ""stroma"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""reactive stroma"", ""disease_label"": ""reactive stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.437525216508462, ""sim_tfidf"": 0.40369985148026244, ""behavior_prior"": -0.19118192025653938, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0492, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.1971529010497231, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -0.3189292398034043}}, {""reference_id"": ""breast.invasive.basal_like"", ""label"": ""basal-like invasive carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Basal/Myoepithelial Lineage""], ""anatomy_label"": ""basal-like invasive breast carcinoma"", ""disease_label"": ""basal-like invasive carcinoma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.37997713706783165, ""sim_tfidf"": 0.5014987573719798, ""behavior_prior"": 0.39921248442450363, ""origin_prior"": 0.21790583186064125, ""missing_anchor_penalty"": 0.0075, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": true, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 0.5, ""total_score"": -Infinity}}, {""reference_id"": ""breast.in_situ.dcis"", ""label"": ""ductal carcinoma in situ"", ""parent_id"": ""breast.in_situ"", ""node_kind"": ""leaf"", ""behavior"": ""in situ"", ""likely_cell_of_origin"": [""Luminal Epithelial Lineage""], ""anatomy_label"": ""ductal-lobular epithelial compartment"", ""disease_label"": ""ductal carcinoma in situ"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.5333838969823176, ""sim_tfidf"": 0.6121410948156265, ""behavior_prior"": 0.17492456762114234, ""origin_prior"": 0.6150593284524111, ""missing_anchor_penalty"": 0.007029938324371807, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.15009464664993985, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": true, ""hard_forbidden_coverage"": 0.05317616906710285, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.33333333333333337, ""anchor_coverage"": 0.3333333333333333, ""total_score"": -Infinity}}, {""reference_id"": ""breast.normal.vascular_stroma"", ""label"": ""vascular breast stroma"", ""parent_id"": ""breast.normal"", ""node_kind"": ""leaf"", ""behavior"": ""non-neoplastic"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""vascular stroma"", ""disease_label"": ""normal breast stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.3146477322078933, ""sim_tfidf"": 0.35163390969355524, ""behavior_prior"": -0.29154094603523717, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": true, ""hard_forbidden_coverage"": 0.05317616906710285, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.21050175075299152, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -Infinity}}]","{""myoepithelial cell"": 0.008910185026884577, ""t cell"": 0.3592419232034978, ""b cell"": 0.22860849658404397, ""plasma cell"": 0.06531671330972685, ""macrophage"": 0.049623903426018766, ""proliferating epithelial cell"": 0.022345542674164467, ""invasive carcinoma cell"": 0.05317616906710285, ""neoplastic luminal epithelial cell"": 0.14118446162305529, ""secretory luminal epithelial cell"": 0.07159260508550543}","[{""empirical_label"": ""Basal / Myoepithelial Cells"", ""empirical_label_normalized"": ""basal myoepithelial cells"", ""empirical_weight"": 0.011700341807738204, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""myoepithelial cell"", ""resolved_target"": ""myoepithelial cell"", ""weight"": 0.75, ""contribution"": 0.008775256355803653}]}, {""empirical_label"": ""Lymphocytes (T/B mixed)"", ""empirical_label_normalized"": ""lymphocytes t b mixed"", ""empirical_weight"": 0.6432760957061667, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""t cell"", ""resolved_target"": ""t cell"", ""weight"": 0.55, ""contribution"": 0.35380185263839176}, {""requested_target"": ""b cell"", ""resolved_target"": ""b cell"", ""weight"": 0.35, ""contribution"": 0.22514663349715833}, {""requested_target"": ""plasma cell"", ""resolved_target"": ""plasma cell"", ""weight"": 0.1, ""contribution"": 0.06432760957061667}]}, {""empirical_label"": ""Macrophages / Myeloid Cells"", ""empirical_label_normalized"": ""macrophages myeloid cells"", ""empirical_weight"": 0.061090548712659024, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""macrophage"", ""resolved_target"": ""macrophage"", ""weight"": 0.8, ""contribution"": 0.04887243897012722}]}, {""empirical_label"": ""Proliferating Tumor Cells"", ""empirical_label_normalized"": ""proliferating tumor cells"", ""empirical_weight"": 0.048904799466051814, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""proliferating epithelial cell"", ""resolved_target"": ""proliferating epithelial cell"", ""weight"": 0.45, ""contribution"": 0.022007159759723317}, {""requested_target"": ""invasive carcinoma cell"", ""resolved_target"": ""invasive carcinoma cell"", ""weight"": 0.35, ""contribution"": 0.017116679813118135}, {""requested_target"": ""neoplastic luminal epithelial cell"", ""resolved_target"": ""neoplastic luminal epithelial cell"", ""weight"": 0.2, ""contribution"": 0.009780959893210364}]}, {""empirical_label"": ""Secretory Luminal Tumor Cells"", ""empirical_label_normalized"": ""secretory luminal tumor cells"", ""empirical_weight"": 0.23502821430738427, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""neoplastic luminal epithelial cell"", ""resolved_target"": ""neoplastic luminal epithelial cell"", ""weight"": 0.55, ""contribution"": 0.12926551786906135}, {""requested_target"": ""secretory luminal epithelial cell"", ""resolved_target"": ""secretory luminal epithelial cell"", ""weight"": 0.3, ""contribution"": 0.07050846429221527}, {""requested_target"": ""invasive carcinoma cell"", ""resolved_target"": ""invasive carcinoma cell"", ""weight"": 0.15, ""contribution"": 0.035254232146107636}]}]",0.8053739703245893,0.5478645765142856,0.6998707112844065,0.39921248442450363,0.7964529159303206,0.0,0.0,0.05317616906710285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,#1f77b4
2,1,12,breast.stroma.reactive_stroma,reactive breast stroma [S2],leaf,stroma,reactive stroma,reactive stroma,,breast.stroma.reactive_stroma,reactive breast stroma,False,,2.3073781968362153,"{""sim_comp"": 0.8630800389245203, ""sim_tfidf"": 0.8739511748305856, ""behavior_prior"": 0.9278116923428074, ""origin_prior"": 23.00296113510179, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.3982859835721236, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 5.613122082705251}","{""sim_comp"": 0.8630800389245203, ""sim_tfidf"": 0.8739511748305856, ""behavior_prior"": 0.9278116923428074, ""origin_prior"": 23.00296113510179, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.3982859835721236, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 5.613122082705251}","[{""reference_id"": ""breast.stroma.reactive_stroma"", ""label"": ""reactive breast stroma"", ""parent_id"": ""breast.stroma"", ""node_kind"": ""leaf"", ""behavior"": ""stroma"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""reactive stroma"", ""disease_label"": ""reactive stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.8630800389245203, ""sim_tfidf"": 0.8739511748305856, ""behavior_prior"": 0.9278116923428074, ""origin_prior"": 23.00296113510179, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.3982859835721236, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 5.613122082705251}}, {""reference_id"": ""breast.normal.vascular_stroma"", ""label"": ""vascular breast stroma"", ""parent_id"": ""breast.normal"", ""node_kind"": ""leaf"", ""behavior"": ""non-neoplastic"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""vascular stroma"", ""disease_label"": ""normal breast stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.8408058194725967, ""sim_tfidf"": 0.8707259705560482, ""behavior_prior"": 0.17197226012673608, ""origin_prior"": 12.482788402220852, ""missing_anchor_penalty"": 0.0013388666818175403, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.27389632276477877, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 0.6666666666666666, ""total_score"": 3.305743885869036}}, {""reference_id"": ""breast.normal.tdlu"", ""label"": ""normal terminal duct lobular unit"", ""parent_id"": ""breast.normal"", ""node_kind"": ""leaf"", ""behavior"": ""non-neoplastic"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""terminal duct lobular unit"", ""disease_label"": ""normal breast"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.5699241512913773, ""sim_tfidf"": 0.676758726119964, ""behavior_prior"": 0.17197226012673608, ""origin_prior"": 1.0, ""missing_anchor_penalty"": 0.0075, ""must_have_penalty"": 0.009482216317097957, ""must_have_coverage"": 0.02392165620698849, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 0.5, ""total_score"": 0.7497630371155373}}, {""reference_id"": ""breast.invasive.basal_like"", ""label"": ""basal-like invasive carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Basal/Myoepithelial Lineage""], ""anatomy_label"": ""basal-like invasive breast carcinoma"", ""disease_label"": ""basal-like invasive carcinoma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.46719608094977516, ""sim_tfidf"": 0.48190809727628064, ""behavior_prior"": 0.6739502362650931, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": true, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -Infinity}}, {""reference_id"": ""breast.invasive.idc_nst"", ""label"": ""invasive ductal carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Luminal Epithelial Lineage""], ""anatomy_label"": ""invasive breast carcinoma"", ""disease_label"": ""invasive ductal carcinoma of no special type"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.47922584692747217, ""sim_tfidf"": 0.4900946587098871, ""behavior_prior"": 0.6739502362650931, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": true, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.01041196944167518, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -Infinity}}]","{""myoepithelial cell"": 0.02392165620698849, ""endothelial cell"": 0.27389632276477877, ""fibroblast"": 0.3982859835721236, ""myofibroblast"": 0.1519829444444991, ""t cell"": 0.0480932034555799, ""b cell"": 0.030604765835369023, ""plasma cell"": 0.008744218810105437, ""macrophage"": 0.02877485505827676, ""pericyte"": 0.0247126498977316, ""smooth muscle cell"": 0.010983399954547378}","[{""empirical_label"": ""Basal / Myoepithelial Cells"", ""empirical_label_normalized"": ""basal myoepithelial cells"", ""empirical_weight"": 0.03141899094838447, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""myoepithelial cell"", ""resolved_target"": ""myoepithelial cell"", ""weight"": 0.75, ""contribution"": 0.023564243211288353}]}, {""empirical_label"": ""Endothelial Cells"", ""empirical_label_normalized"": ""endothelial cells"", ""empirical_weight"": 0.2698040431841529, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""endothelial cell"", ""resolved_target"": ""endothelial cell"", ""weight"": 1.0, ""contribution"": 0.2698040431841529}]}, {""empirical_label"": ""Fibroblasts / Stromal Cells"", ""empirical_label_normalized"": ""fibroblasts stromal cells"", ""empirical_weight"": 0.5231136006822631, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""fibroblast"", ""resolved_target"": ""fibroblast"", ""weight"": 0.75, ""contribution"": 0.39233520051169735}, {""requested_target"": ""myofibroblast"", ""resolved_target"": ""myofibroblast"", ""weight"": 0.25, ""contribution"": 0.13077840017056577}]}, {""empirical_label"": ""Lymphocytes (T/B mixed)"", ""empirical_label_normalized"": ""lymphocytes t b mixed"", ""empirical_weight"": 0.08613571608551547, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""t cell"", ""resolved_target"": ""t cell"", ""weight"": 0.55, ""contribution"": 0.047374643847033514}, {""requested_target"": ""b cell"", ""resolved_target"": ""b cell"", ""weight"": 0.35, ""contribution"": 0.030147500629930414}, {""requested_target"": ""plasma cell"", ""resolved_target"": ""plasma cell"", ""weight"": 0.1, ""contribution"": 0.008613571608551548}]}, {""empirical_label"": ""Macrophages / Myeloid Cells"", ""empirical_label_normalized"": ""macrophages myeloid cells"", ""empirical_weight"": 0.035431163142286747, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""macrophage"", ""resolved_target"": ""macrophage"", ""weight"": 0.8, ""contribution"": 0.0283449305138294}]}, {""empirical_label"": ""Pericytes / Myofibroblasts"", ""empirical_label_normalized"": ""pericytes myofibroblasts"", ""empirical_weight"": 0.05409648595739732, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""pericyte"", ""resolved_target"": ""pericyte"", ""weight"": 0.45, ""contribution"": 0.024343418680828795}, {""requested_target"": ""myofibroblast"", ""resolved_target"": ""myofibroblast"", ""weight"": 0.35, ""contribution"": 0.01893377008508906}, {""requested_target"": ""smooth muscle cell"", ""resolved_target"": ""smooth muscle cell"", ""weight"": 0.2, ""contribution"": 0.010819297191479465}]}]",5.613122082705251,0.8630800389245203,0.8739511748305856,0.9278116923428074,23.00296113510179,0.0,0.0,0.3982859835721236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,#d62728
3,2,3,breast.invasive.idc_nst,invasive ductal carcinoma [S3],leaf,invasive,invasive breast carcinoma,invasive ductal carcinoma of no special type,Luminal Epithelial Lineage,breast.invasive.idc_nst,invasive ductal carcinoma,False,,3.016129676314849,"{""sim_comp"": 0.51836866270347, ""sim_tfidf"": 0.5210655124622079, ""behavior_prior"": 0.7837654977592551, ""origin_prior"": 0.7890943303277597, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.13630704308856612, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.07921524894591479, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.6826092486986961}","{""sim_comp"": 0.51836866270347, ""sim_tfidf"": 0.5210655124622079, ""behavior_prior"": 0.7837654977592551, ""origin_prior"": 0.7890943303277597, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.13630704308856612, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.07921524894591479, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.6826092486986961}","[{""reference_id"": ""breast.invasive.idc_nst"", ""label"": ""invasive ductal carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Luminal Epithelial Lineage""], ""anatomy_label"": ""invasive breast carcinoma"", ""disease_label"": ""invasive ductal carcinoma of no special type"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.51836866270347, ""sim_tfidf"": 0.5210655124622079, ""behavior_prior"": 0.7837654977592551, ""origin_prior"": 0.7890943303277597, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.13630704308856612, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.07921524894591479, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": 0.6826092486986961}}, {""reference_id"": ""breast.stroma.reactive_stroma"", ""label"": ""reactive breast stroma"", ""parent_id"": ""breast.stroma"", ""node_kind"": ""leaf"", ""behavior"": ""stroma"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""reactive stroma"", ""disease_label"": ""reactive stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 2.5970381400952647e-10, ""sim_tfidf"": 0.0, ""behavior_prior"": -1.6633194412959704, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0492, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": true, ""forbidden_penalty"": 0.9197946099628557, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -2.3335204276161527}}, {""reference_id"": ""breast.invasive.basal_like"", ""label"": ""basal-like invasive carcinoma"", ""parent_id"": ""breast.invasive"", ""node_kind"": ""leaf"", ""behavior"": ""invasive"", ""likely_cell_of_origin"": [""Basal/Myoepithelial Lineage""], ""anatomy_label"": ""basal-like invasive breast carcinoma"", ""disease_label"": ""basal-like invasive carcinoma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.21419084932907995, ""sim_tfidf"": 0.2999869839576086, ""behavior_prior"": 0.7837654977592551, ""origin_prior"": 0.15781886606555193, ""missing_anchor_penalty"": 0.0075, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": true, ""hard_forbidden_gate_active"": false, ""hard_forbidden_violation"": false, ""hard_forbidden_coverage"": 0.0, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.2348973102774865, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 0.5, ""total_score"": -Infinity}}, {""reference_id"": ""breast.in_situ.dcis"", ""label"": ""ductal carcinoma in situ"", ""parent_id"": ""breast.in_situ"", ""node_kind"": ""leaf"", ""behavior"": ""in situ"", ""likely_cell_of_origin"": [""Luminal Epithelial Lineage""], ""anatomy_label"": ""ductal-lobular epithelial compartment"", ""disease_label"": ""ductal carcinoma in situ"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 0.7324422647120996, ""sim_tfidf"": 0.6944749675458682, ""behavior_prior"": 0.6133816938985476, ""origin_prior"": 1.0, ""missing_anchor_penalty"": 0.0, ""must_have_penalty"": 0.0, ""must_have_coverage"": 0.6365145517638238, ""must_have_hard_gate_active"": true, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": true, ""hard_forbidden_coverage"": 0.13630704308856612, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.0, ""over_specificity_penalty"": 0.0, ""anchor_coverage"": 1.0, ""total_score"": -Infinity}}, {""reference_id"": ""breast.normal.vascular_stroma"", ""label"": ""vascular breast stroma"", ""parent_id"": ""breast.normal"", ""node_kind"": ""leaf"", ""behavior"": ""non-neoplastic"", ""likely_cell_of_origin"": [], ""anatomy_label"": ""vascular stroma"", ""disease_label"": ""normal breast stroma"", ""depth"": 2, ""score_breakdown"": {""sim_comp"": 2.592271952650549e-10, ""sim_tfidf"": 0.0, ""behavior_prior"": -1.022302823164246, ""origin_prior"": 0.0, ""missing_anchor_penalty"": 0.015, ""must_have_penalty"": 0.0516, ""must_have_coverage"": 0.0, ""must_have_hard_gate_active"": false, ""must_have_hard_violation"": false, ""hard_forbidden_gate_active"": true, ""hard_forbidden_violation"": true, ""hard_forbidden_coverage"": 0.13630704308856612, ""eligible_after_hard_rules"": false, ""forbidden_penalty"": 0.987045633122625, ""over_specificity_penalty"": 1.0, ""anchor_coverage"": 0.0, ""total_score"": -Infinity}}]","{""myoepithelial cell"": 0.09128637940955935, ""neoplastic luminal epithelial cell"": 0.5452281723542644, ""luminal epithelial cell"": 0.22717840514761015, ""invasive carcinoma cell"": 0.1363070430885661}","[{""empirical_label"": ""Basal / Myoepithelial Cells"", ""empirical_label_normalized"": ""basal myoepithelial cells"", ""empirical_weight"": 0.11812089622960807, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""myoepithelial cell"", ""resolved_target"": ""myoepithelial cell"", ""weight"": 0.75, ""contribution"": 0.08859067217220605}]}, {""empirical_label"": ""ER-positive Luminal Tumor Cells"", ""empirical_label_normalized"": ""er positive luminal tumor cells"", ""empirical_weight"": 0.8818791037703919, ""mapping_reason"": ""override:exact"", ""targets"": [{""requested_target"": ""neoplastic luminal epithelial cell"", ""resolved_target"": ""neoplastic luminal epithelial cell"", ""weight"": 0.6, ""contribution"": 0.5291274622622352}, {""requested_target"": ""luminal epithelial cell"", ""resolved_target"": ""luminal epithelial cell"", ""weight"": 0.25, ""contribution"": 0.22046977594259798}, {""requested_target"": ""invasive carcinoma cell"", ""resolved_target"": ""invasive carcinoma cell"", ""weight"": 0.15, ""contribution"": 0.1322818655655588}]}]",0.6826092486986961,0.51836866270347,0.5210655124622079,0.7837654977592551,0.7890943303277597,0.0,0.0,0.13630704308856612,1.0,0.0,0.0,0.0,0.0,1.0,0.07921524894591479,0.0,1.0,#e377c2
