ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
DLL4,NOTCH3,Pericytes,Pericytes,recompute,recompute,recompute,0.9184503888425789,0.8818326005152037,1.0,0.11694486957515715,0.8672894033034337,0.022823902123928652,0.029336530775379722,0.307179935637042,0.0023181454836131094,12510,1.0,0.35115285322855
DLL4,NOTCH3,Endothelial Cells,"CAFs, Invasive Associated",recompute,recompute,recompute,0.9184503888425789,0.6580560501976399,0.6198216015396206,1.0,0.1973932010691654,0.02486075973333135,0.06422628951747085,1.0,0.014642262895174708,3005,1.0,0.3500032016279152
TGFB1,TGFBR2,T Lymphocytes,Pericytes,recompute,recompute,recompute,0.7806633527749638,0.9643410356050758,0.6198216015396206,1.0,0.2837148864776496,0.012907070481153967,0.022409751523675577,0.9113630843902536,0.0030942334739803095,3555,1.0,0.3457630292434669
CSF1,CSF1R,Pericytes,Macrophages,recompute,recompute,recompute,0.9330656492219304,0.9569566492419601,0.8875000050982297,0.297542793801235,1.0,0.007010918266666236,0.04270588235294118,0.2151450696132859,0.010823529411764706,2125,1.0,0.34386103852381456
TGFB1,TGFBR2,Dendritic Cells,"CAFs, DCIS Associated",recompute,recompute,recompute,0.7806633527749638,0.7241065161359392,0.6198216015396206,0.7613650405309432,0.41704959801464375,0.014775522880227382,0.0226818545163869,1.0,0.004196642685851319,3336,1.0,0.3435390657780346
TGFB1,TGFBR2,Endothelial Cells,"CAFs, DCIS Associated",recompute,recompute,recompute,0.8649048900453102,0.7241065161359392,0.7204611100467462,0.5918084951805068,0.41704959801464375,0.014488936911273452,0.007907760722995254,0.35790998544142666,0.0006455314875914503,13942,1.0,0.34247682199898466
TGFB1,TGFBR2,"CAFs, Invasive Associated",Pericytes,recompute,recompute,recompute,0.6618992459738668,0.9643410356050758,0.6198216015396206,0.9188457246466148,0.2837148864776496,0.009747946701793313,0.024793388429752084,1.0,0.003148366784730421,2541,1.0,0.3165103618000911
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Pericytes,recompute,recompute,recompute,0.7941469661104033,0.7728785963662539,0.6198216015396206,1.0,0.17748963886584487,0.014352442049015486,0.0226651965820532,0.7729811852538049,0.0017540782318891423,5701,1.0,0.31457895911413425
CXCL12,CXCR4,Endothelial Cells,T Lymphocytes,recompute,recompute,recompute,0.7487535481622718,0.9008184599638702,0.6198216015396206,0.10272295574815776,1.0,0.022180895827437246,0.04435651399742814,0.3578994531055734,0.013928182807399348,4595,1.0,0.3136762384599398
TGFB1,TGFBR2,Macrophages,Pericytes,recompute,recompute,recompute,0.9033788194414196,0.9643410356050758,0.8875000050982297,0.3718323084156244,0.2837148864776496,0.011158701647072049,0.02206278631096741,0.8972526518807381,0.004850444624090542,2474,1.0,0.3113044841309742
TGFB1,TGFBR2,T Lymphocytes,T Lymphocytes,recompute,recompute,recompute,0.7806633527749638,0.628133940116149,1.0,1.0,0.10396504391838439,0.017827288208468375,0.009471839839084834,0.8426790612069598,0.0003771450122572129,21212,1.0,0.31123003224718354
DLL4,NOTCH3,Endothelial Cells,"CAFs, DCIS Associated",recompute,recompute,recompute,0.9184503888425789,0.4638256179742202,0.7204611100467462,1.0,0.06891862663651398,0.042717652134981916,0.011882561086405565,1.0,0.0020083201836178454,13942,1.0,0.31092873451236364
TGFB1,TGFBR2,Dendritic Cells,Pericytes,recompute,recompute,recompute,0.7806633527749638,0.9643410356050758,0.6198216015396206,0.7613650405309432,0.2837148864776496,0.008783485192546212,0.023719072667056286,0.9646107500070789,0.0058445353594389245,1711,1.0,0.309873141378114
CXCL12,CXCR4,"CAFs, DCIS Associated",Macrophages,recompute,recompute,recompute,0.8924110508951895,0.7757991160529997,0.7204611100467462,1.0,0.04917092614889038,0.032854631036522496,0.023338464324520088,1.0,0.002290836653386454,10040,1.0,0.30505044615184107
JAG1,NOTCH1,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (Mitotic),recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,0.8824495942126559,1.0,0.08666944020865194,0.019650234122996258,0.027460569898001993,0.3292499062730242,0.001757763455260735,11947,1.0,0.304322345631402
TGFB1,TGFBR2,"CAFs, DCIS Associated",Pericytes,recompute,recompute,recompute,0.4625524716153596,0.9643410356050758,0.7204611100467462,0.47844300379630145,0.2837148864776496,0.017858142525698038,0.007201118869173442,0.2928561656177769,0.0010889757222471335,15611,1.0,0.3033368576467144
TGFB1,TGFBR2,Pericytes,Pericytes,recompute,recompute,recompute,0.8649048900453102,0.9643410356050758,1.0,0.25809749975310686,0.2837148864776496,0.01254860893285458,0.0066213695710098585,0.2692788355438918,0.0007993605115907274,12510,1.0,0.30251261035905225
TGFB1,TGFBR2,"CAFs, Invasive Associated","CAFs, DCIS Associated",recompute,recompute,recompute,0.6618992459738668,0.7241065161359392,0.6198216015396206,0.9188457246466148,0.41704959801464375,0.006195331635836221,0.019589317208364824,0.8866242268136912,0.005291005291005291,1323,1.0,0.29835004550404054
DLL4,NOTCH3,Endothelial Cells,Luminal-like Amorphous DCIS Cells,recompute,recompute,recompute,0.9184503888425789,0.4638256179742202,0.24613745147074395,1.0,0.5131068416842878,0.012841014345396471,0.051887550200803295,1.0,0.00819277108433735,2075,1.0,0.2973258087461923
TGFB1,TGFBR2,T Lymphocytes,Dendritic Cells,recompute,recompute,recompute,0.7806633527749638,0.628133940116149,0.909150863993142,1.0,0.10646573797703236,0.014347034593296146,0.016221374045801536,0.6945059867426848,0.0019083969465648854,5764,1.0,0.29661109898309135
JAG1,NOTCH1,11q13 Invasive Tumor Cells (Mitotic),11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,0.8824495942126559,0.05263539325963273,1.0,0.02605355994283369,0.024850366557663615,1.0,0.0009916535823485662,12101,1.0,0.2935299202045651
TGFB1,TGFBR2,Dendritic Cells,Dendritic Cells,recompute,recompute,recompute,0.7806633527749638,0.628133940116149,1.0,0.7613650405309432,0.10646573797703236,0.014482403347092674,0.02177345632843017,0.9322142334846792,0.0029917726252804786,4011,1.0,0.2884208434268708
DLL4,NOTCH3,Endothelial Cells,Basal-like Structured DCIS Cells,recompute,recompute,recompute,0.9184503888425789,0.7746834992804791,0.6198216015396206,1.0,0.2295016807597237,0.005257384730362763,0.02291560967360053,1.0,0.0015220700152207,1971,1.0,0.28466486594237
TGFB1,TGFBR2,"CAFs, DCIS Associated","CAFs, DCIS Associated",recompute,recompute,recompute,0.4625524716153596,0.7241065161359392,1.0,0.47844300379630145,0.41704959801464375,0.007681963637495551,0.0032569915581588207,0.1474133881888541,0.00040032025620496394,94924,1.0,0.28297128789298515
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Myoepithelial Cells,recompute,recompute,recompute,0.7941469661104033,0.46013374214009517,0.6198216015396206,1.0,0.17955576343167495,0.012569430613225725,0.01884286544367887,0.6546323225579704,0.001936858415649816,5163,1.0,0.28276642225156545
CSF1,CSF1R,Mast Cells,Macrophages,recompute,recompute,recompute,0.8552373118926793,0.9569566492419601,0.8567148457705164,0.1878690989799276,1.0,0.0038281116206965345,0.2318181818181818,1.0,0.11515151515151516,165,1.0,0.2821257455530014
TGFB1,TGFBR2,"CAFs, Invasive Associated","CAFs, Invasive Associated",recompute,recompute,recompute,0.6618992459738668,0.628133940116149,1.0,0.9188457246466148,0.07630971198036683,0.01712704353157411,0.01651878421748159,0.9872381835522592,0.0022654332641117614,5297,1.0,0.2816598102920252
TGFB1,TGFBR2,Pericytes,"CAFs, DCIS Associated",recompute,recompute,recompute,0.8649048900453102,0.7241065161359392,0.7204611100467462,0.25809749975310686,0.41704959801464375,0.009798828644590167,0.004996018597004965,0.22612279328576457,0.0005394158896509209,12977,1.0,0.27941813162373025
CSF1,CSF1R,Endothelial Cells,Dendritic Cells,recompute,recompute,recompute,0.9530510539284376,0.7744570596502125,0.6198216015396206,0.3300653030175087,0.6590560508382464,0.004576472193225305,0.030749293119698397,0.2639335805077216,0.003770028275212064,2122,1.0,0.277378232147077
CXCL12,CXCR4,Pericytes,T Lymphocytes,recompute,recompute,recompute,0.7487535481622718,0.9008184599638702,0.6198216015396206,0.06372880775749876,1.0,0.01696628720562997,0.04787714543812127,0.38630637586968913,0.014453477868112014,3321,1.0,0.2770305337845712
CXCL12,CXCR4,"CAFs, Invasive Associated",T Lymphocytes,recompute,recompute,recompute,0.6160088550075702,0.9008184599638702,0.7917001487310438,0.05480638574296996,1.0,0.01843146715547473,0.07992094861660083,0.6448582456957406,0.021304347826086957,2300,1.0,0.276182439180976
CSF1,CSF1R,Basal-like Structured DCIS Cells,Dendritic Cells,recompute,recompute,recompute,0.6329636802303048,0.7744570596502125,0.8693461273411047,0.3430671774934166,0.6590560508382464,0.004573183315909945,0.04992816091954023,0.4285535354703205,0.009578544061302681,1044,1.0,0.2758555096799671
CSF1,CSF1R,T Lymphocytes,Macrophages,recompute,recompute,recompute,0.6329636802303048,0.9569566492419601,0.6198216015396206,0.2016933258290928,1.0,0.005681290464229221,0.02655478058703865,0.13377852893304046,0.004359197907585004,3441,1.0,0.2747553654557695
CSF1,CSF1R,Pericytes,Dendritic Cells,recompute,recompute,recompute,0.9330656492219304,0.7744570596502125,0.6198216015396206,0.297542793801235,0.6590560508382464,0.004669231460006483,0.03823622545915136,0.32819693939791306,0.005699810006333122,1579,1.0,0.27257272876087524
TGFB1,TGFBR2,Dendritic Cells,T Lymphocytes,recompute,recompute,recompute,0.7806633527749638,0.628133940116149,0.909150863993142,0.7613650405309432,0.10396504391838439,0.010521880041055158,0.011301581939987638,1.0,0.0006755615605472049,5921,1.0,0.2680943640255041
JAG1,NOTCH1,11q13 Invasive Tumor Cells (G1/S),11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,0.8824495942126559,0.032311095449028576,1.0,0.024036849619314855,0.018610421836228346,0.7864186418734699,0.001075268817204301,12090,1.0,0.2669929340968697
CSF1,CSF1R,T Lymphocytes,Dendritic Cells,recompute,recompute,recompute,0.6329636802303048,0.7744570596502125,0.909150863993142,0.2016933258290928,0.6590560508382464,0.005787270610565457,0.016091256072172103,0.1381177386245117,0.001561415683553088,5764,1.0,0.2645554782708599
CXCL12,CXCR4,"CAFs, DCIS Associated",B Cells,recompute,recompute,recompute,0.8924110508951895,0.9546923450729715,0.6198216015396206,1.0,0.04457454658784243,0.014064964794898778,0.02902130950335114,1.0,0.0023629489603024575,4232,1.0,0.26301883496362005
TGFB1,TGFBR2,11q13 Invasive Tumor Cells,Pericytes,recompute,recompute,recompute,0.6618992459738668,0.9643410356050758,0.6198216015396206,0.9884381288839681,0.2837148864776496,0.002967835249187906,0.004063614570543179,0.1652596774609834,0.00035081564637782847,5701,1.0,0.26278083657039797
CSF1,CSF1R,Dendritic Cells,Dendritic Cells,recompute,recompute,recompute,0.6329636802303048,0.7744570596502125,1.0,0.13793660188765483,0.6590560508382464,0.007241234326724243,0.019166043380703067,0.1645098778025143,0.004238344552480678,4011,1.0,0.26189781634978043
JAG1,NOTCH1,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells (G1/S),recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,0.8824495942126559,1.0,0.043382027682688826,0.015392735581168887,0.01732231994295226,0.8433842885283439,0.00041597337770382697,12020,1.0,0.26035495680716586
TGFB1,TGFBR2,"CAFs, Invasive Associated",Dendritic Cells,recompute,recompute,recompute,0.6618992459738668,0.628133940116149,0.7917001487310438,0.9188457246466148,0.10646573797703236,0.009352461397968477,0.023728088926891867,1.0,0.003420265070542967,2339,1.0,0.25889915462941415
CSF1,CSF1R,Myoepithelial Cells,Dendritic Cells,recompute,recompute,recompute,0.7181940594497765,0.7744570596502125,0.6198216015396206,0.241712611075796,0.6590560508382464,0.005075316034193582,0.039280469897209985,0.3371601104337222,0.00881057268722467,1362,1.0,0.25558297342703007
JAG1,NOTCH1,11q13 Invasive Tumor Cells,"CAFs, Invasive Associated",recompute,recompute,recompute,0.7941469661104033,0.6655462707198134,0.8824495942126559,1.0,0.07272217354205764,0.00818530123685312,0.01565892895372665,0.43835885802286684,0.00149860843502462,4671,1.0,0.2554142922059717
JAG1,NOTCH1,Basal-like Structured DCIS Cells,Basal-like Structured DCIS Cells,recompute,recompute,recompute,0.9097736029185509,0.9232588887953476,1.0,0.04309654638185767,0.46352883193182237,0.015508378607169939,0.012154095393776687,0.27695411660521374,0.000868410298324479,19576,1.0,0.25267201373786385
CSF1,CSF1R,11q13 Invasive Tumor Cells,Dendritic Cells,recompute,recompute,recompute,0.6329636802303048,0.7744570596502125,0.7917001487310438,0.3435917185259688,0.6590560508382464,0.0028766866310087967,0.012276785714285714,0.10537660160459834,0.001488095238095238,3360,1.0,0.25145831452526535
CSF1,CSF1R,"CAFs, Invasive Associated",Dendritic Cells,recompute,recompute,recompute,0.6329636802303048,0.7744570596502125,0.7917001487310438,0.1523572567652539,0.6590560508382464,0.006359542038327561,0.030782385634886705,0.26421762690799677,0.005985463873450192,2339,1.0,0.25062524958825044
CXCL12,CXCR4,"CAFs, DCIS Associated",Endothelial Cells,recompute,recompute,recompute,0.8924110508951895,0.7757991160529997,0.7204611100467462,1.0,0.027958038284341596,0.01747621576322301,0.007732631426968997,1.0,0.0003054181174027243,16371,1.0,0.24992702146266793
JAG1,NOTCH1,Pericytes,Endothelial Cells,recompute,recompute,recompute,0.6303682835571691,0.7728785963662539,0.9465158905362521,0.03425584686464733,0.7025747778867708,0.021802508492024877,0.025839159937046968,0.3673133904782776,0.002257540184215279,11074,1.0,0.24962875080344205
TGFB1,TGFBR2,T Lymphocytes,"CAFs, Invasive Associated",recompute,recompute,recompute,0.7806633527749638,0.628133940116149,0.7917001487310438,1.0,0.07630971198036683,0.00801588854537453,0.01597222222222222,0.954573136034566,0.0025,2400,1.0,0.24884837787665437
JAG1,NOTCH1,Basal-like Structured DCIS Cells,11q13 Invasive Tumor Cells,recompute,recompute,recompute,0.9097736029185509,0.6655462707198134,0.7917001487310438,0.04309654638185767,1.0,0.010899443856936008,0.009438868375890676,0.3988572700990824,0.0002978455836118741,30217,1.0,0.24665311619645655
JAG1,NOTCH1,Endothelial Cells,Endothelial Cells,recompute,recompute,recompute,0.6303682835571691,0.7728785963662539,1.0,0.029179138324176478,0.7025747778867708,0.022102393956019938,0.021307278682660247,0.30289099157485655,0.002112841380389702,12779,1.0,0.24583953320661955
CXCL12,CXCR4,T Lymphocytes,T Lymphocytes,recompute,recompute,recompute,0.6160088550075702,0.9008184599638702,1.0,0.025575340320379867,1.0,0.014606144990117162,0.01602437728215573,0.12929591053917,0.0016500094286253065,21212,1.0,0.24327470699880147
CSF1,CSF1R,"CAFs, Invasive Associated",Macrophages,recompute,recompute,recompute,0.6329636802303048,0.9569566492419601,0.6198216015396206,0.1523572567652539,1.0,0.003383899657330076,0.03572740631888317,0.1799886782821358,0.0073475385745775165,1361,1.0,0.2405119280097775
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Dendritic Cells,recompute,recompute,recompute,0.7941469661104033,0.8647171432637394,0.7917001487310438,1.0,0.05197941571611153,0.006842348755920617,0.021726190476190458,0.993615233007855,0.0008928571428571428,3360,1.0,0.24047070088765662
CXCL12,CXCR4,"CAFs, DCIS Associated",Plasma Cells,recompute,recompute,recompute,0.8924110508951895,0.46000374398572297,0.8767341187813952,1.0,0.029279151553362335,0.018235328570408934,0.04343475521624737,1.0,0.011822258459029759,2453,1.0,0.24022108124990113
