pathway,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
MacrophageProgram,0.5378360786854236,0.25287569003823074,0.22554294034978753,0.5365283396715366,0.11711124034019663,0.11711124034019663,0.22554294034978753,0.22554294034978753,0.16323650659318678,0.11711124034019663,0.5365283396715366,0.34415395842107366,0.5365283396715366,1.0,0.22554294034978753,0.04304335075803993,0.34415395842107366,1.0,0.34415395842107366,0.34415395842107366
PlasmaProgram,0.737588481724873,0.2692301671131841,0.3881890968763357,0.12497012214393922,0.2692301671131841,0.2692301671131841,0.3881890968763357,0.3881890968763357,0.2692301671131841,0.2692301671131841,0.06843093463899122,0.3881890968763357,0.1641567488594921,0.737588481724873,0.3881890968763357,0.2692301671131841,0.3881890968763357,1.0,0.3881890968763357,0.3881890968763357
VascularProgram,0.748197543644688,0.21616332547329087,0.36981766412083666,0.27944495216985943,0.05578055211679178,0.04573965492893923,0.36981766412083666,0.36981766412083666,0.1428101706154471,0.05945233390772799,0.27944495216985943,0.36981766412083666,0.27944495216985943,0.7499555182182691,0.36981766412083666,0.10668340737135498,0.36981766412083666,1.0,0.36981766412083666,0.36981766412083666
BasalDCISProgram,0.7543065795711669,0.36885160951457385,0.12784426805742752,0.36885160951457385,0.36885160951457385,0.36885160951457385,0.12784426805742752,0.12784426805742752,0.36885160951457385,0.36885160951457385,0.36885160951457385,0.20836768141607176,0.36885160951457385,0.7543065795711669,0.04301495094979466,0.36885160951457385,0.20836768141607176,1.0,0.20836768141607176,0.20836768141607176
ApocrineProgram,0.5444650124017717,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.741340616340721,0.07370204456856003,0.741340616340721,0.741340616340721,0.741340616340721,1.0,0.741340616340721,0.741340616340721
LuminalAmorphousProgram,0.19669641570449653,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.6464717950709077,0.7526142760085052,0.6464717950709077,0.6464717950709077,0.6464717950709077,1.0,0.6464717950709077,0.6464717950709077
