ligand,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
CSF1,0.7505480935621652,0.2133818839406371,0.3670363197696952,0.28180594055022345,0.06693435077806964,0.046948946071562365,0.3670363197696952,0.3670363197696952,0.14476268810732074,0.06693435077806964,0.28180594055022345,0.3670363197696952,0.28180594055022345,0.7505480935621652,0.3670363197696952,0.10247369180216274,0.3670363197696952,1.0,0.3670363197696952,0.3670363197696952
CXCL12,0.7443309986320541,0.2512464518377282,0.3839911449924298,0.10758894910481055,0.2512464518377282,0.2512464518377282,0.3839911449924298,0.3839911449924298,0.2512464518377282,0.2512464518377282,0.12690873410597814,0.3839911449924298,0.19760824392890458,0.7443309986320541,0.3839911449924298,0.2512464518377282,0.3839911449924298,1.0,0.3839911449924298,0.3839911449924298
TGFB1,0.5374475283846404,0.25586567658805504,0.21933664722503618,0.5374475283846404,0.13509510995468973,0.13509510995468973,0.21933664722503618,0.21933664722503618,0.16972581979104598,0.13509510995468973,0.5374475283846404,0.3381007540261331,0.5374475283846404,1.0,0.21933664722503618,0.09662118055858042,0.3381007540261331,1.0,0.3381007540261331,0.3381007540261331
JAG1,0.7548641785551559,0.3696317164428308,0.1369816995772015,0.3696317164428308,0.3696317164428308,0.3696317164428308,0.1369816995772015,0.1369816995772015,0.3696317164428308,0.3696317164428308,0.3696317164428308,0.2058530338895967,0.3696317164428308,0.7548641785551559,0.0902263970814491,0.3696317164428308,0.2058530338895967,1.0,0.2058530338895967,0.2058530338895967
DLL4,0.7509432376054601,0.21591813162204931,0.36579202294115326,0.283971114147939,0.08154961115742111,0.08154961115742111,0.36579202294115326,0.36579202294115326,0.14830435628216562,0.08154961115742111,0.283971114147939,0.36579202294115326,0.283971114147939,0.7509432376054601,0.36579202294115326,0.10501418136741324,0.36579202294115326,1.0,0.36579202294115326,0.36579202294115326
