receptor,Luminal-like Amorphous DCIS Cells,Myeloid Cells,T Lymphocytes,"CAFs, DCIS Associated",Pericytes,Endothelial Cells,B Cells,Dendritic Cells,Mast Cells,CXCL14+ Fibroblasts,Plasma Cells,11q13 Invasive Tumor Cells (Mitotic),Myoepithelial Cells,Apocrine Cells,Basal-like Structured DCIS Cells,Macrophages,11q13 Invasive Tumor Cells,Unassigned,11q13 Invasive Tumor Cells (G1/S),"CAFs, Invasive Associated"
CSF1R,0.5361858452103359,0.25287569003823074,0.22554294034978753,0.5361858452103359,0.10988641707992255,0.10988641707992255,0.22554294034978753,0.22554294034978753,0.16116726543540638,0.10988641707992255,0.5361858452103359,0.34437620070645236,0.5361858452103359,1.0,0.22554294034978753,0.04304335075803993,0.34437620070645236,1.0,0.34437620070645236,0.34437620070645236
CXCR4,0.539996256014277,0.2552317303778392,0.09918154003612972,0.539996256014277,0.22420088394700036,0.22420088394700036,0.045307654927028464,0.09918154003612972,0.22420088394700036,0.22420088394700036,0.539996256014277,0.33678624182261063,0.539996256014277,1.0,0.1371816901587604,0.22420088394700036,0.33678624182261063,1.0,0.33678624182261063,0.33678624182261063
TGFBR2,0.7484642585760726,0.2178592237075382,0.3718660598838511,0.2758934838640608,0.03565896439492425,0.04835828397143349,0.3718660598838511,0.3718660598838511,0.1395547483228829,0.058288904094041624,0.2758934838640608,0.3718660598838511,0.2758934838640608,0.7484642585760726,0.3718660598838511,0.10884205666932738,0.3718660598838511,1.0,0.3718660598838511,0.3718660598838511
NOTCH1,0.5398662578599048,0.255169849383518,0.1352828567362606,0.5398662578599048,0.2271214036337461,0.2271214036337461,0.1352828567362606,0.1352828567362606,0.2271214036337461,0.2271214036337461,0.5398662578599048,0.3344537292801865,0.5398662578599048,1.0,0.07674111120465245,0.2271214036337461,0.3344537292801865,1.0,0.3344537292801865,0.3344537292801865
NOTCH3,0.5361743820257798,0.2529524389639194,0.22531650071952095,0.5361743820257798,0.11816739948479626,0.11816739948479626,0.22531650071952095,0.22531650071952095,0.16585355546393862,0.11816739948479626,0.5361743820257798,0.3419439498023601,0.5361743820257798,1.0,0.22531650071952095,0.10769657669414766,0.3419439498023601,1.0,0.3419439498023601,0.3419439498023601
