pathway,MacrophageProgram,PlasmaProgram,VascularProgram,BasalDCISProgram,ApocrineProgram,LuminalAmorphousProgram
MacrophageProgram,0.0,0.4136341553923037,0.4136341553923037,0.45179317225725657,1.0,1.0
PlasmaProgram,0.4136341553923037,0.0,0.2720268977606875,0.45179317225725657,1.0,1.0
VascularProgram,0.4136341553923037,0.2720268977606875,0.0,0.45179317225725657,1.0,1.0
BasalDCISProgram,0.45179317225725657,0.45179317225725657,0.45179317225725657,0.0,1.0,1.0
ApocrineProgram,1.0,1.0,1.0,1.0,0.0,0.449295702285509
LuminalAmorphousProgram,1.0,1.0,1.0,1.0,0.449295702285509,0.0
