gene,n_cells,n_nonzero_cells,spearman_rho,p_value,mean_expression,tumor_enriched
COL1A1,13028,770,0.004427545392512054,0.6133374763297068,0.065858151673319,False
COL3A1,13028,481,-0.10828738055734435,2.773602261838237e-35,0.05035308566165183,False
MMP11,13028,89,0.006564054628904276,0.4537613095474724,0.007522259748234571,False
TGFB1,13028,326,-0.01008911928954787,0.24952924573616977,0.0276327909118821,False
CXCL12,13028,1214,-0.0789473605436537,1.8085588780614562e-19,0.12181455326988026,False
