group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
T Lymphocytes,200.0,0.7256224225244994,0.5375342663531221,0.8525159106447648,465,5.0,1.0,10.0,553,4.3814161447619675,1.8326529751947591,8.329789025171955,3.486620185907512e-05,1.4583788998715728e-05,6.628635491343684e-05
CXCL14+ Fibroblasts,25.0,0.9637073794874157,0.8816413439094267,0.9913305994639298,763,0.0,0.0,1.0,2307,0.9967048825148016,0.9528773020775785,1.942320019970126,0.0005076176283393839,0.00048529642491429046,0.0009892154631827021
CXCL14+ Fibroblasts,50.0,0.9271530196070688,0.766146065881037,0.9775405373595254,1261,1.0,0.0,2.0,2307,0.9999651803075773,0.9184795166978692,2.5104310056044223,0.00012731952109258345,0.00011694444416889673,0.0003196380030664811
CXCL14+ Fibroblasts,100.0,0.8059912791376866,0.5853561455877911,0.9227507397673609,1866,2.0,1.0,4.0,2307,1.928438481541892,0.975017998155968,3.86118038923755,6.138410335720418e-05,3.1035786802017354e-05,0.00012290518902332892
CXCL14+ Fibroblasts,200.0,0.6384284308945352,0.49241606572532765,0.7872553960560121,2266,7.0,4.0,12.0,2307,4.442871110901979,2.425842821747541,7.43661288211328,3.535524494101152e-05,1.9304243812255636e-05,5.917868500245974e-05
Plasma Cells,25.0,0.9999818890086859,0.9999818890086859,0.9999818890086859,2,0.0,0.0,0.0,47,0.9999818890086859,0.9999818890086859,0.9999818890086859,0.0005092865940419308,0.0005092865940419308,0.0005092865940419308
Plasma Cells,50.0,0.9999818890086859,0.9999818890086859,0.9999818890086859,2,0.0,0.0,0.0,47,0.9999818890086859,0.9999818890086859,0.9999818890086859,0.0001273216485104827,0.0001273216485104827,0.0001273216485104827
Plasma Cells,100.0,0.8530801618736417,0.8511379258473426,0.9328418943505651,5,0.0,0.0,0.0,47,1.4084723974245965,0.9328418943505651,1.7022758516946852,4.483306885172341e-05,2.9693279721820005e-05,5.418512326063506e-05
Plasma Cells,200.0,0.8511379258473426,0.7530512492988399,0.9328418943505651,11,0.0,0.0,0.0,47,0.9328418943505651,0.7590178349714363,1.173249788864798,7.423319930455001e-06,6.040072016530627e-06,9.336425168967756e-06
11q13 Invasive Tumor Cells (Mitotic),25.0,0.9616258105108495,0.8509160685858377,0.9867164852627235,96,0.0,0.0,0.0,432,0.9759014475538417,0.9238106440151053,0.9993807287983832,0.0004970225259159359,0.000470492897522916,0.0005089804256609395
